Fibre_GT,Fibre_Assess,Total_GTcontours,Total_Assess_contours,IoU_Score_Assess_GT,GT_proportion_membrane_included,GT_proportion_mito_mass_missed,Assess_proportion_membrane_included,Assess_proportion_mito_mass_missed
0,not_found,489,10,0,41.78669935642047,0.0,0,0
1,not_found,489,10,0,88.34605597964376,0.0,0,0
2,not_found,489,10,0,19.33941764450239,0.0,0,0
3,not_found,489,10,0,49.009584664536746,0.0,0,0
4,not_found,489,10,0,39.51149425287356,0.0,0,0
5,not_found,489,10,0,34.78414720452937,0.0,0,0
6,not_found,489,10,0,34.095158944525245,0.0,0,0
7,not_found,489,10,0,71.52717860224331,0.0,0,0
8,not_found,489,10,0,67.33222407099278,0.0,0,0
9,not_found,489,10,0,21.935756551141168,0.0,0,0
10,not_found,489,10,0,32.033363390441835,0.0,0,0
11,not_found,489,10,0,58.24496288441146,9.248055315471046,0,0
12,not_found,489,10,0,78.45822735276855,11.81231332498314,0,0
13,not_found,489,10,0,30.303030303030305,0.0,0,0
14,not_found,489,10,0,54.68585789353438,4.294173484608779,0,0
15,not_found,489,10,0,40.3836843379327,6.369805929277295,0,0
16,not_found,489,10,0,60.255727224294084,0.18315018315018314,0,0
17,not_found,489,10,0,20.953299352527896,0.0,0,0
18,not_found,489,10,0,62.4261811023622,0.0,0,0
19,not_found,489,10,0,53.81443298969072,0.0,0,0
20,not_found,489,10,0,95.92911877394637,6.630824372759856,0,0
21,not_found,489,10,0,73.06451612903226,29.244060475161987,0,0
22,not_found,489,10,0,60.30760928224501,24.524524524524523,0,0
23,not_found,489,10,0,38.87758248535307,5.188106796116505,0,0
24,not_found,489,10,0,49.32140653917335,0.4076086956521739,0,0
25,not_found,489,10,0,31.23321627762859,0.7434197307615029,0,0
26,not_found,489,10,0,27.497123731827216,0.0,0,0
27,not_found,489,10,0,89.98011928429423,0.0,0,0
28,not_found,489,10,0,88.98776418242491,0.0,0,0
29,not_found,489,10,0,52.73729114824032,1.1032925028233864,0,0
30,not_found,489,10,0,63.65638766519823,0.5185979971387698,0,0
31,not_found,489,10,0,85.1692103516921,9.969272789347901,0,0
32,not_found,489,10,0,19.12162162162162,0.9366513329268968,0,0
33,not_found,489,10,0,69.64285714285714,1.1989100817438691,0,0
34,not_found,489,10,0,39.6362663813854,0.5157297576070139,0,0
35,not_found,489,10,0,40.309026836541065,0.0,0,0
36,not_found,489,10,0,72.23018147086916,0.0,0,0
37,not_found,489,10,0,36.038961038961034,0.0,0,0
38,not_found,489,10,0,78.99761336515513,0.22026431718061676,0,0
39,not_found,489,10,0,36.12861177492939,0.08218615163344976,0,0
